kp,ki,kd,target_speed,cmd_vel_linear_x,pitch,mass
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.46,0.47,0.0,2
6.5,0.9,0.6,0.46,0.46,0.0,2
6.5,0.9,0.6,0.44,0.45,0.0,2
6.5,0.9,0.6,0.41,0.42,0.0,2
6.5,0.9,0.6,0.38,0.36,0.0,2
6.5,0.9,0.6,0.35,0.35,0.0,2
6.5,0.9,0.6,0.3,0.31,0.0,2
6.5,0.9,0.6,0.28,0.29,0.0,2
6.5,0.9,0.6,0.25,0.23,0.0,2
6.5,0.9,0.6,0.22,0.09,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.12,0.16,0.0,2
6.5,0.9,0.6,0.25,0.23,0.0,2
6.5,0.9,0.6,0.25,0.25,0.0,2
6.5,0.9,0.6,0.25,0.26,0.0,2
6.5,0.9,0.6,0.26,0.26,0.0,2
6.5,0.9,0.6,0.27,0.27,0.0,2
6.5,0.9,0.6,0.27,0.27,0.0,2
6.5,0.9,0.6,0.27,0.27,0.0,2
6.5,0.9,0.6,0.28,0.28,0.0,2
6.5,0.9,0.6,0.0,0.07,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.0,0.0,0.0,2
6.5,0.9,0.6,0.12,0.16,0.0,2
6.5,0.9,0.6,0.25,0.23,0.0,2
6.5,0.9,0.6,0.25,0.25,0.0,2
6.5,0.9,0.6,0.25,0.25,0.0,2
6.5,0.9,0.6,0.25,0.26,0.0,2
6.5,0.9,0.6,0.26,0.26,0.0,2
6.5,0.9,0.6,0.26,0.27,0.0,2
6.5,0.9,0.6,0.27,0.27,0.0,2
6.5,0.9,0.6,0.31,0.31,0.0,2
6.5,0.9,0.6,0.32,0.32,0.0,2
6.5,0.9,0.6,0.35,0.36,0.0,2
6.5,0.9,0.6,0.38,0.38,0.0,2
6.5,0.9,0.6,0.39,0.39,0.0,2
6.5,0.9,0.6,0.41,0.43,0.0,2
6.5,0.9,0.6,0.47,0.48,0.0,2
6.5,0.9,0.6,0.49,0.51,0.0,2
6.5,0.9,0.6,0.5,0.51,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
6.5,0.9,0.6,0.5,0.5,0.0,2
